Name W,Result W,Technique,Name L,Result L
AOIYAMA,win,oshidashi,OKINOUMI,lost
ATAMIFUJI,win,uwatenage,TAKANOSHO,lost
TAKARAFUJI,win,okuridashi,KAGAYAKI,lost
MYOGIRYU,win,yorikiri,AZUMARYU,lost
CHIYOSHOMA,win,oshidashi,ENDO,lost
NISHIKIGI,win,yorikiri,KOTOEKO,lost
SADANOUMI,win,oshidashi,ICHIYAMAMOTO,lost
WAKAMOTOHARU,win,sukuinage,OHO,lost
MIDORIFUJI,win,oshidashi,KOTOSHOHO,lost
ICHINOJO,win,uwatenage,TERUTSUYOSHI,lost
MEISEI,win,tsukidashi,HIRADOUMI,lost
KOTONOWAKA,win,yorikiri,RYUDEN,lost
ABI,win,tsukitaoshi,TAKAYASU,lost
DAIEISHO,win,hatakikomi,ONOSHO,lost
TOBIZARU,win,oshidashi,URA,lost
TAMAWASHI,win,uwatenage,TOCHINOSHIN,lost
NISHIKIFUJI,win,yorikiri,MITAKEUMI,lost
HOSHORYU,win,yorikiri,KIRIBAYAMA,lost
HOKUTOFUJI,win,oshidashi,SHODAI,lost
TAKAKEISHO,win,hatakikomi,WAKATAKAKAGE,lost
ABI,win,hatakikomi,TAKAYASU,lost
ABI,win,oshidashi,TAKAKEISHO,lost
OKINOUMI,win,yoritaoshi,CHIYOSHOMA,lost
TAKANOSHO,win,oshidashi,AZUMARYU,lost
KOTOSHOHO,win,yorikiri,MYOGIRYU,lost
NISHIKIGI,win,yorikiri,ICHIYAMAMOTO,lost
HIRADOUMI,win,yorikiri,NISHIKIFUJI,lost
WAKAMOTOHARU,win,oshidashi,KOTOEKO,lost
SADANOUMI,win,oshidashi,TOCHINOSHIN,lost
URA,win,oshitaoshi,TERUTSUYOSHI,lost
MIDORIFUJI,win,tsukiotoshi,ENDO,lost
ICHINOJO,win,yorikiri,ATAMIFUJI,lost
TAKAYASU,win,hatakikomi,KAGAYAKI,lost
MEISEI,win,yorikiri,KOTONOWAKA,lost
TAMAWASHI,win,oshidashi,TAKARAFUJI,lost
RYUDEN,win,yorikiri,DAIEISHO,lost
TOBIZARU,win,shitatenage,AOIYAMA,lost
ONOSHO,win,tsukiotoshi,KIRIBAYAMA,lost
WAKATAKAKAGE,win,oshidashi,HOKUTOFUJI,lost
ABI,win,hikiotoshi,HOSHORYU,lost
TAKAKEISHO,win,oshidashi,OHO,lost
SHODAI,win,oshidashi,MITAKEUMI,lost
OKINOUMI,win,tsukiotoshi,ONOSHO,lost
CHIYOSHOMA,win,yorikiri,TERUTSUYOSHI,lost
AOIYAMA,win,hatakikomi,ATAMIFUJI,lost
ABI,win,tsukidashi,KAGAYAKI,lost
TOCHINOSHIN,win,sukuinage,ICHIYAMAMOTO,lost
MYOGIRYU,win,uwatenage,KOTOEKO,lost
HIRADOUMI,win,yorikiri,ENDO,lost
RYUDEN,win,yorikiri,AZUMARYU,lost
NISHIKIGI,win,oshidashi,KOTOSHOHO,lost
URA,win,okuridashi,TAKARAFUJI,lost
TAKANOSHO,win,oshidashi,ICHINOJO,lost
KOTONOWAKA,win,oshidashi,MIDORIFUJI,lost
TAKAYASU,win,uwatenage,OHO,lost
WAKAMOTOHARU,win,yorikiri,DAIEISHO,lost
SADANOUMI,win,okuridashi,TOBIZARU,lost
MEISEI,win,oshitaoshi,KIRIBAYAMA,lost
MITAKEUMI,win,hatakikomi,HOKUTOFUJI,lost
WAKATAKAKAGE,win,yorikiri,NISHIKIFUJI,lost
TAMAWASHI,win,oshidashi,SHODAI,lost
TAKAKEISHO,win,oshidashi,HOSHORYU,lost
ONOSHO,win,yorikiri,KOTOSHOHO,lost
AOIYAMA,win,oshidashi,TERUTSUYOSHI,lost
CHIYOSHOMA,win,shitatehineri,ATAMIFUJI,lost
OKINOUMI,win,yorikiri,TOCHINOSHIN,lost
ICHIYAMAMOTO,win,oshidashi,MYOGIRYU,lost
AZUMARYU,win,uwatenage,NISHIKIGI,lost
HIRADOUMI,win,tsukiotoshi,HOKUTOFUJI,lost
TAKANOSHO,win,oshitaoshi,URA,lost
KOTOEKO,win,hatakikomi,MEISEI,lost
TAKARAFUJI,win,oshidashi,ICHINOJO,lost
TAKAYASU,win,hikiotoshi,RYUDEN,lost
KAGAYAKI,win,oshidashi,KOTONOWAKA,lost
WAKAMOTOHARU,win,oshidashi,TOBIZARU,lost
ENDO,win,hikiotoshi,TAMAWASHI,lost
DAIEISHO,win,yorikiri,MIDORIFUJI,lost
OHO,win,hatakikomi,HOSHORYU,lost
ABI,win,uwatenage,WAKATAKAKAGE,lost
MITAKEUMI,win,oshidashi,SADANOUMI,lost
TAKAKEISHO,win,oshidashi,NISHIKIFUJI,lost
KIRIBAYAMA,win,yorikiri,SHODAI,lost
KOTOEKO,win,hikkake,ICHIYAMAMOTO,lost
KOTOSHOHO,win,hatakikomi,AZUMARYU,lost
ONOSHO,win,yorikiri,HIRADOUMI,lost
KAGAYAKI,win,oshitaoshi,CHIYOSHOMA,lost
ABI,win,tsukidashi,OHO,lost
TAKANOSHO,win,oshitaoshi,TERUTSUYOSHI,lost
TOCHINOSHIN,win,hatakikomi,ATAMIFUJI,lost
TAKARAFUJI,win,tsukiotoshi,OKINOUMI,lost
SADANOUMI,win,oshidashi,AOIYAMA,lost
WAKAMOTOHARU,win,yorikiri,MYOGIRYU,lost
ENDO,win,uwatedashinage,URA,lost
KOTONOWAKA,win,okuridashi,ICHINOJO,lost
TAKAYASU,win,oshitaoshi,NISHIKIFUJI,lost
KIRIBAYAMA,win,sotogake,RYUDEN,lost
NISHIKIGI,win,oshidashi,TAMAWASHI,lost
DAIEISHO,win,oshitaoshi,MEISEI,lost
MIDORIFUJI,win,sukuinage,TOBIZARU,lost
HOSHORYU,win,yorikiri,MITAKEUMI,lost
SHODAI,win,yorikiri,WAKATAKAKAGE,lost
TAKAKEISHO,win,hatakikomi,HOKUTOFUJI,lost
AZUMARYU,win,oshidashi,KOTOEKO,lost
ONOSHO,win,oshidashi,ICHIYAMAMOTO,lost
HIRADOUMI,win,tsukiotoshi,KOTOSHOHO,lost
