Win,Lose,Name,Rank,Tournament,Divison
0,0,HAKUHO,Y,2021 Hatsu basho results - Makuuchi Division,E
2,8,TAKAKEISHO,O,2021 Hatsu basho results - Makuuchi Division,E
11,4,ASANOYAMA,O,2021 Hatsu basho results - Makuuchi Division,E
11,4,TERUNOFUJI,S,2021 Hatsu basho results - Makuuchi Division,E
9,6,TAKAYASU,K,2021 Hatsu basho results - Makuuchi Division,E
7,8,HOKUTOFUJI,M1,2021 Hatsu basho results - Makuuchi Division,E
9,6,TAKARAFUJI,M2,2021 Hatsu basho results - Makuuchi Division,E
2,13,KOTOSHOHO,M3,2021 Hatsu basho results - Makuuchi Division,E
4,11,TOCHINOSHIN,M4,2021 Hatsu basho results - Makuuchi Division,E
7,8,ENDO,M5,2021 Hatsu basho results - Makuuchi Division,E
4,11,RYUDEN,M6,2021 Hatsu basho results - Makuuchi Division,E
8,7,MEISEI,M7,2021 Hatsu basho results - Makuuchi Division,E
3,12,TOKUSHORYU,M8,2021 Hatsu basho results - Makuuchi Division,E
0,0,CHIYONOKUNI,M9,2021 Hatsu basho results - Makuuchi Division,E
9,6,SHIMANOUMI,M10,2021 Hatsu basho results - Makuuchi Division,E
0,0,CHIYOTAIRYU,M11,2021 Hatsu basho results - Makuuchi Division,E
9,6,ICHINOJO,M12,2021 Hatsu basho results - Makuuchi Division,E
5,10,AKUA,M13,2021 Hatsu basho results - Makuuchi Division,E
9,6,HOSHORYU,M14,2021 Hatsu basho results - Makuuchi Division,E
7,8,YUTAKAYAMA,M15,2021 Hatsu basho results - Makuuchi Division,E
9,6,AKISEYAMA,M16,2021 Hatsu basho results - Makuuchi Division,E
5,10,SADANOUMI,M17,2021 Hatsu basho results - Makuuchi Division,E
2,1,HAKUHO,Y,2021 Haru basho results - Makuuchi Division,E
7,8,SHODAI,O,2021 Haru basho results - Makuuchi Division,E
10,5,TAKAKEISHO,O,2021 Haru basho results - Makuuchi Division,E
12,3,TERUNOFUJI,S,2021 Haru basho results - Makuuchi Division,E
10,5,TAKAYASU,K,2021 Haru basho results - Makuuchi Division,E
3,12,TAKARAFUJI,M1,2021 Haru basho results - Makuuchi Division,E
