Win,Lose,Name,Rank,Tournament,Division
11,4,TERUNOFUJI,Y,2022 Hatsu basho results - Makuuchi Division,E
1,3,TAKAKEISHO,O,2022 Hatsu basho results - Makuuchi Division,E
13,2,MITAKEUMI,S,2022 Hatsu basho results - Makuuchi Division,E
5,10,MEISEI,K,2022 Hatsu basho results - Makuuchi Division,E
9,6,WAKATAKAKAGE,M1,2022 Hatsu basho results - Makuuchi Division,E
8,7,URA,M2,2022 Hatsu basho results - Makuuchi Division,E
8,7,TAMAWASHI,M3,2022 Hatsu basho results - Makuuchi Division,E
4,11,OKINOUMI,M4,2022 Hatsu basho results - Makuuchi Division,E
10,5,ONOSHO,M5,2022 Hatsu basho results - Makuuchi Division,E
11,4,HOSHORYŪ,M6,2022 Hatsu basho results - Makuuchi Division,E
0,0,TAKAYASU,M7,2022 Hatsu basho results - Makuuchi Division,E
0,0,HIDENOUMI,M8,2022 Hatsu basho results - Makuuchi Division,E
4,11,CHIYONOKUNI,M9,2022 Hatsu basho results - Makuuchi Division,E
5,8,MYOGIRYŪ,M10,2022 Hatsu basho results - Makuuchi Division,E
8,7,SADANOUMI,M11,2022 Hatsu basho results - Makuuchi Division,E
11,4,ISHIURA,M12,2022 Hatsu basho results - Makuuchi Division,E
7,8,CHIYOMARU,M13,2022 Hatsu basho results - Makuuchi Division,E
11,4,KOTONOWAKA,M14,2022 Hatsu basho results - Makuuchi Division,E
9,6,WAKAMOTOHARU,M15,2022 Hatsu basho results - Makuuchi Division,E
8,7,AOIYAMA,M16,2022 Hatsu basho results - Makuuchi Division,E
8,7,KOTOEKO,M17,2022 Hatsu basho results - Makuuchi Division,E
7,8,OHO,M18,2022 Hatsu basho results - Makuuchi Division,E
9,6,SHODAI,O,2022 Haru basho results - Makuuchi Division,E
12,3,WAKATAKAKAGE,S,2022 Haru basho results - Makuuchi Division,E
4,11,TAKANOSHO,K,2022 Haru basho results - Makuuchi Division,E
8,7,DAIEISHO,M1,2022 Haru basho results - Makuuchi Division,E
9,6,ICHINOJO,M2,2022 Haru basho results - Makuuchi Division,E
6,9,ONOSHO,M3,2022 Haru basho results - Makuuchi Division,E
10,5,KIRIBAYAMA,M4,2022 Haru basho results - Makuuchi Division,E
6,9,TAKARAFUJI,M5,2022 Haru basho results - Makuuchi Division,E
9,6,HOKUTOFUJI,M6,2022 Haru basho results - Makuuchi Division,E
12,3,TAKAYASU,M7,2022 Haru basho results - Makuuchi Division,E
5,10,CHIYOSHOMA,M8,2022 Haru basho results - Makuuchi Division,E
9,6,TOBIZARU,M9,2022 Haru basho results - Makuuchi Division,E
8,7,SHIMANOUMI,M10,2022 Haru basho results - Makuuchi Division,E
7,8,MYOGIRYŪ,M11,2022 Haru basho results - Makuuchi Division,E
9,6,KOTOEKO,M12,2022 Haru basho results - Makuuchi Division,E
5,10,CHIYOMARU,M13,2022 Haru basho results - Makuuchi Division,E
9,6,KOTOSHOHO,M14,2022 Haru basho results - Makuuchi Division,E
4,11,AKUA,M15,2022 Haru basho results - Makuuchi Division,E
9,6,NISHIKIGI,M16,2022 Haru basho results - Makuuchi Division,E
7,8,KAGAYAKI,M17,2022 Haru basho results - Makuuchi Division,E
12,3,TERUNOFUJI,Y,2022 Natsu basho results - Makuuchi Division,E
6,9,MITAKEUMI,O,2022 Natsu basho results - Makuuchi Division,E
9,6,WAKATAKAKAGE,S,2022 Natsu basho results - Makuuchi Division,E
8,7,HOSHORYŪ,K,2022 Natsu basho results - Makuuchi Division,E
6,9,TAKAYASU,M1,2022 Natsu basho results - Makuuchi Division,E
10,5,KIRIBAYAMA,M2,2022 Natsu basho results - Makuuchi Division,E
5,10,HOKUTOFUJI,M3,2022 Natsu basho results - Makuuchi Division,E
7,8,ENDO,M4,2022 Natsu basho results - Makuuchi Division,E
2,4,ONOSHO,M5,2022 Natsu basho results - Makuuchi Division,E
9,5,URA,M6,2022 Natsu basho results - Makuuchi Division,E
4,11,TAKARAFUJI,M7,2022 Natsu basho results - Makuuchi Division,E
7,8,SHIMANOUMI,M8,2022 Natsu basho results - Makuuchi Division,E
6,9,KOTOSHOHO,M9,2022 Natsu basho results - Makuuchi Division,E
9,6,OKINOUMI,M10,2022 Natsu basho results - Makuuchi Division,E
10,5,AOIYAMA,M11,2022 Natsu basho results - Makuuchi Division,E
6,9,MYOGIRYŪ,M12,2022 Natsu basho results - Makuuchi Division,E
8,7,CHIYOTAIRYŪ,M13,2022 Natsu basho results - Makuuchi Division,E
6,9,OHO,M14,2022 Natsu basho results - Makuuchi Division,E
5,10,AZUMARYŪ,M15,2022 Natsu basho results - Makuuchi Division,E
0,0,ISHIURA,M16,2022 Natsu basho results - Makuuchi Division,E
2,13,KOTOKUZAN,M17,2022 Natsu basho results - Makuuchi Division,E
